78RCS	76WS	accepted	species	Ramaria laeviformosoides	R.H. Petersen & M. Zang
78RD8	76WS	accepted	species	Ramaria rasilispora	Marr & D.E. Stuntz
4RBL2	76WS	accepted	species	Ramaria americana	(Corner) R.H. Petersen
4RBSX	76WS	accepted	species	Ramaria maculospora	R.H. Petersen
4RBNR	76WS	accepted	species	Ramaria coulterae	Scates
4RBW7	76WS	accepted	species	Ramaria subcinerea	Velen.
4RBWT	76WS	accepted	species	Ramaria tubulosa	(Fr.) Corner
4RBQQ	76WS	accepted	species	Ramaria fumigata	(Peck) Corner
4RBLZ	76WS	accepted	species	Ramaria botrytis	(Pers.) Bourdot
4RBLS	76WS	accepted	species	Ramaria barenthalensis	Franchi & M. Marchetti
6X3CY	76WS	accepted	species	Ramaria subsigmoidea	(Sacc. & P. Syd.) Corner
4RBS4	76WS	accepted	species	Ramaria karstenii	(Sacc. & P. Syd.) Corner
4RBVF	76WS	accepted	species	Ramaria sandaracina	Marr & D.E. Stuntz
4RBTS	76WS	accepted	species	Ramaria paludosa	(S. Lundell) Schild
4RBTM	76WS	accepted	species	Ramaria pallida	(Schaeff.) Ricken
4RBSL	76WS	accepted	species	Ramaria longissimispora	McAfee & Grund
4RBM5	76WS	accepted	species	Ramaria brevispora	Corner, K.S. Thind & Dev
4RBRL	76WS	accepted	species	Ramaria ignicolor	Corner
4RBQ7	76WS	accepted	species	Ramaria flavescentoides	Hanif & Khalid
4RBQD	76WS	accepted	species	Ramaria flavoalba	Corner
4RBRR	76WS	accepted	species	Ramaria inedulis	Singer
4RBPQ	76WS	accepted	species	Ramaria fagetorum	Maas Geest. ex Schild
4RBPY	76WS	accepted	species	Ramaria fibulata	(R.H. Petersen) R.H. Petersen
4RBKV	76WS	accepted	species	Ramaria albocinerea	(Pat.) Corner
4RBSF	76WS	accepted	species	Ramaria ligustri	Velen.
4RBSG	76WS	accepted	species	Ramaria linearioides	R.H. Petersen & M. Zang
6WRD6	76WS	accepted	species	Ramaria praecox	Schild
4RBRX	76WS	accepted	species	Ramaria isaacii	Christan & M. Mata
6WRF3	76WS	accepted	species	Ramaria eburnea	Velen.
4RBT6	76WS	accepted	species	Ramaria megalorhiza	(Berk. & Broome) Corner
4RBQZ	76WS	accepted	species	Ramaria gracilispora	Christan & M. Mata
4RBQJ	76WS	accepted	species	Ramaria flavosaponaria	R.H. Petersen
4RBRF	76WS	accepted	species	Ramaria highlandensis	R.H. Petersen
