Sample_ID,Prop_EcM_OTUs_unassigned,Prop_EcM_OTUs_assigned,Latitude,Longitude,Biome,Continent,Country,Year_of_sampling
GF04009121S,0.732026144,0.267973856,27.12,100.17,forest,Asia,China,2014
GF04009122S,0.827160494,0.172839506,24.53,101.02,forest,Asia,China,2014
GF04009123S,0.791338583,0.208661417,24.53,101.02,forest,Asia,China,2014
GF04009124S,0.784037559,0.215962441,27.12,100.17,forest,Asia,China,2014
GF04009126S,0.727272727,0.272727273,27.12,100.17,forest,Asia,China,2017
GF04009128S,0.762430939,0.237569061,24.53,101.02,forest,Asia,China,2017
GF04009129S,0.821917808,0.178082192,24.53,101.02,forest,Asia,China,2014
GF04009132S,0.81595092,0.18404908,27.12,100.17,forest,Asia,China,2014
GF04009133S,0.821621622,0.178378378,24.53,101.02,forest,Asia,China,2017
GF04009134S,0.804878049,0.195121951,27.12,100.17,forest,Asia,China,2017
GF04009135S,0.76076555,0.23923445,27.12,100.17,forest,Asia,China,2014
GF04009137S,0.745318352,0.254681648,27.12,100.17,forest,Asia,China,2014
GF04009138S,0.787234043,0.212765957,27.12,100.17,forest,Asia,China,2014
GF04009139S,0.740932642,0.259067358,27.12,100.17,forest,Asia,China,2014
GF04009140S,0.747126437,0.252873563,27.12,100.17,forest,Asia,China,2017
GF04009141S,0.803921569,0.196078431,27.12,100.17,forest,Asia,China,2014
GF04009142S,0.775,0.225,27.12,100.17,forest,Asia,China,2017
GF04009143S,0.828282828,0.171717172,24.53,101.02,forest,Asia,China,2014
GF04009144S,0.845238095,0.154761905,21.61,101.57,forest,Asia,China,2016
GF04009145S,0.814371257,0.185628743,27.12,100.17,forest,Asia,China,2017
GF04009146S,0.79,0.21,27.12,100.17,forest,Asia,China,2014
GF04009149S,0.6875,0.3125,27.12,100.17,forest,Asia,China,2017
GF04009150S,0.807486631,0.192513369,24.53,101.02,forest,Asia,China,2014
GF04009151S,0.75974026,0.24025974,27.12,100.17,forest,Asia,China,2017
GF04009152S,0.805429864,0.194570136,27.12,100.17,forest,Asia,China,2017
GF04009153S,0.822485207,0.177514793,24.53,101.02,forest,Asia,China,2014
GF04009154S,0.837962963,0.162037037,24.53,101.02,forest,Asia,China,2017
GF04009155S,0.766393443,0.233606557,27.12,100.17,forest,Asia,China,2014
GF04009156S,0.704225352,0.295774648,27.12,100.17,forest,Asia,China,2017
GF04009157S,0.796703297,0.203296703,27.12,100.17,forest,Asia,China,2014
GF04009158S,0.82781457,0.17218543,24.53,101.02,forest,Asia,China,2014
GF04009160S,0.762589928,0.237410072,24.53,101.02,forest,Asia,China,2017
GF04009161S,0.793650794,0.206349206,24.53,101.02,forest,Asia,China,2017
GF04009162S,0.833333333,0.166666667,24.53,101.02,forest,Asia,China,2014
GF04009163S,0.748663102,0.251336898,27.12,100.17,forest,Asia,China,2017
GF04009164S,0.778443114,0.221556886,27.12,100.17,forest,Asia,China,2017
GF04009165S,0.806451613,0.193548387,24.53,101.02,forest,Asia,China,2017
GF04009166S,0.819905213,0.180094787,27.12,100.17,forest,Asia,China,2014
GF04009167S,0.813793103,0.186206897,24.53,101.02,forest,Asia,China,2014
GF04009168S,0.78,0.22,21.61,101.57,forest,Asia,China,2016
GF04009169S,0.789272031,0.210727969,27.12,100.17,forest,Asia,China,2017
GF04009170S,0.731958763,0.268041237,21.61,101.57,forest,Asia,China,2017
GF04009171S,0.842857143,0.157142857,24.53,101.02,forest,Asia,China,2014
GF04009172S,0.78021978,0.21978022,24.53,101.02,forest,Asia,China,2014
GF04009173S,0.75,0.25,27.12,100.17,forest,Asia,China,2014
GF04009176S,0.82320442,0.17679558,24.53,101.02,forest,Asia,China,2017
GF04009178S,0.808988764,0.191011236,24.53,101.02,forest,Asia,China,2017
