"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Amanita farinacea","Amanita farinacea (Sacc.) Cleland & Cheel","yes","yes",370,41,NA,"Agaricus farinaceus, Amanita farinacea, Amanitopsis farinacea, Aspidella farinacea, Vaginata farinacea",NA,NA
"Amanita fibrillopes","Amanita fibrillopes O.K.Mill.","yes","yes",3,40,NA,"Amanita fibrillopes",NA,"yes"
"Amanita flavella","Amanita flavella E.-J.Gilbert & Cleland","yes","yes",184,25,NA,"Amanita flavella",NA,"yes"
"Amanita flaviphylla","Amanita flaviphylla O.K.Mill.","yes","yes",4,18,NA,"Amanita flaviphylla",NA,NA
"Amanita flavorubens","Amanita flavorubens",NA,"yes",0,1,NA,"Amanita flavorubens",NA,NA
"Amanita forrestiae","Amanita forrestiae (Kalchbr.) McAlpine","yes",NA,0,0,NA,"Agaricus forrestiae, Amanita forrestiae",NA,NA
"Amanita fulva","Amanita fulva (Schaeff.) Fr.","yes","yes",0,1,NA,"Amanita fulva",NA,"yes"
"Amanita fuscobrunnea","Amanita fuscobrunnea A.E.Wood","yes","yes",2,1,NA,"Amanita fuscobrunnea",NA,NA
"Amanita fuscosquamosa","Amanita fuscosquamosa A.E.Wood","yes","yes",2,5,NA,"Amanita fuscosquamosa","yes","yes"
"Amanita gardneri","Amanita gardneri",NA,"yes",0,2,NA,"Amanita gardneri",NA,"yes"
"Amanita gemmata","Amanita gemmata (Fr.) Bertill.","yes","yes",0,1,NA,"Amanita gemmata",NA,"yes"
"Amanita gioisa","Amanita gioisa Curreli","yes",NA,0,0,NA,"Amanita gioisa",NA,NA
"Amanita gossypinoannulata","Amanita gossypinoannulata D.A.Reid","yes","yes",3,5,NA,"Amanita gossypinoannulata",NA,NA
"Amanita gracilenta","Amanita gracilenta A.E.Wood","yes","yes",0,1,NA,"Amanita gracilenta",NA,NA
"Amanita grandis","Amanita grandis (Bougher) Justo","yes","yes",3,13,NA,"Amanita grandis, Torrendia grandis","yes","yes"
"Amanita grandispora","Amanita grandispora (G.W.Beaton, Pegler & T.W.K.Young) Justo","yes","yes",1,8,NA,"Alpova grandisporus, Amanita grandispora, Amarrendia grandispora",NA,NA
"Amanita grisea","Amanita grisea Massee & Rodway","yes","yes",5,44,NA,"Amanita grisea",NA,NA
"Amanita griseibrunnea","Amanita griseibrunnea O.K.Mill.","yes",NA,0,0,NA,"Amanita griseibrunnea",NA,NA
"Amanita grisella","Amanita grisella E.-J.Gilbert & Cleland","yes","yes",48,36,NA,"Amanita grisella",NA,NA
"Amanita griselloides","Amanita griselloides D.A.Reid","yes","yes",7,27,NA,"Amanita griselloides",NA,"yes"
"Amanita griseobrunnea","Amanita griseobrunnea",NA,"yes",1,4,NA,"Amanita griseobrunnea",NA,NA
"Amanita griseoconia","Amanita griseoconia D.A.Reid","yes","yes",1,4,NA,"Amanita griseoconia",NA,NA
"Amanita griseovelata","Amanita griseovelata D.A.Reid","yes","yes",0,5,NA,"Amanita griseovelata",NA,NA
"Amanita grossa","Amanita grossa Cleland & Cheel ex E.-J.Gilbert","yes","yes",2,39,NA,"Amanita grossa",NA,NA
"Amanita grossa","Amanita grossa Sacc.","yes","yes",2,39,NA,"Agaricus grossus, Amanita grossa, Amanitopsis grossa",NA,NA
"Amanita hemibapha","Amanita hemibapha (Berk. & Broome) Sacc.","yes","yes",0,21,NA,"Agaricus hemibaphus, Amanita hemibapha",NA,"yes"
"Amanita hiltonii","Amanita hiltonii D.A.Reid","yes","yes",4,34,NA,"Amanita hiltonii",NA,"yes"
"Amanita illudens","Amanita illudens Sacc.","yes","yes",0,4,NA,"Agaricus illudens, Amanita illudens, Amanitopsis illudens",NA,NA
"Amanita incarnatifolia","Amanita incarnatifolia",NA,NA,0,0,"yes","Amanita incarnatifolia",NA,"yes"
"Amanita inculta","Amanita inculta (Bougher) Justo","yes","yes",5,15,NA,"Amanita inculta, Torrendia inculta",NA,"yes"
"Amanita ingwa","Amanita ingwa Grgur.","yes","yes",5,3,NA,"Amanita ingwa",NA,NA
"Amanita kalamundae","Amanita kalamundae O.K.Mill.","yes","yes",2,34,NA,"Amanita kalamundae",NA,"yes"
"Amanita kammala","Amanita kammala Grgur.","yes","yes",1,8,NA,"Amanita kammala",NA,NA
"Amanita konajensis","Amanita konajensis",NA,NA,0,0,"yes","Amanita konajensis",NA,"yes"
"Amanita lesueurii","Amanita lesueurii E.M.Davison","yes","yes",2,7,NA,"Amanita lesueurii",NA,"yes"
"Amanita loricata","Amanita loricata Gentilli","yes",NA,0,0,NA,"Amanita loricata",NA,NA
"Amanita luteivolvata","Amanita luteivolvata O.K.Mill.","yes","yes",0,6,NA,"Amanita luteivolvata",NA,NA
"Amanita luteofusca","Amanita luteofusca Cleland & E.-J.Gilbert","yes","yes",8,29,NA,"Amanita luteofusca",NA,NA
"Amanita luteolovelata","Amanita luteolovelata D.A.Reid","yes","yes",200,32,NA,"Amanita luteolovelata","yes",NA
"Amanita magniverrucata","Amanita magniverrucata Thiers & Ammirati","yes",NA,0,0,NA,"Amanita magniverrucata",NA,"yes"
"Amanita manicata","Amanita manicata",NA,"yes",0,1,NA,"Amanita manicata",NA,"yes"
"Amanita mappa","Amanita mappa (Batsch) Bertill.","yes","yes",0,1,NA,"Agaricus citrinus, Agaricus mappus, Amanita citrina, Amanita mappa",NA,NA
"Amanita marinae","Amanita marinae E.M.Davison & Giustiniano","yes",NA,0,0,NA,"Amanita marinae",NA,"yes"
"Amanita marmorata","Amanita marmorata Cleland & E.-J.Gilbert","yes","yes",77,26,"yes","Amanita marmorata",NA,"yes"
"Amanita millsii","Amanita millsii",NA,"yes",0,5,NA,"Amanita millsii",NA,"yes"
"Amanita murina","Amanita murina Sacc.","yes",NA,0,0,NA,"Agaricus murinus, Amanita murina",NA,NA
"Amanita murinaster","Amanita murinaster A.E.Wood","yes","yes",3,5,NA,"Amanita murinaster",NA,NA
"Amanita muriniflammea","Amanita muriniflammea Tulloss, A.M.Young & A.E.Wood","yes","yes",0,2,NA,"Amanita muriniflammea",NA,NA
"Amanita muscaria","Amanita muscaria (L.) Lam.","yes","yes",4844,162,"yes","Agaricus muscarius, Amanita muscaria",NA,"yes"
"Amanita nauseosa","Amanita nauseosa (Wakef.) D.A.Reid","yes","yes",21,18,NA,"Amanita nauseosa, Lepiota nauseosa",NA,NA
"Amanita neomurina","Amanita neomurina",NA,"yes",6,30,NA,"Amanita neomurina",NA,NA
"Amanita nummularia","Amanita nummularia Lam.","yes",NA,0,0,NA,"Amanita nummularia",NA,NA
"Amanita ochraceobulbosa","Amanita ochraceobulbosa A.E.Wood","yes","yes",8,6,NA,"Amanita ochraceobulbosa",NA,NA
"Amanita ochrophylla","Amanita ochrophylla (Cooke & Massee) Cleland","yes","yes",424,175,NA,"Agaricus ochrophyllus, Amanita ochrophylla, Aspidella ochrophylla, Lepiota ochrophylla",NA,"yes"
"Amanita ochrophylloides","Amanita ochrophylloides D.A.Reid","yes","yes",320,28,NA,"Amanita ochrophylloides",NA,NA
"Amanita ochroterrea","Amanita ochroterrea Gentilli ex Bas","yes","yes",1,34,NA,"Amanita brunneiphylla, Amanita ochroterrea",NA,"yes"
"Amanita oleosa","Amanita oleosa (Bougher & T.Lebel) Justo","yes","yes",0,18,NA,"Amanita oleosa, Amarrendia oleosa",NA,NA
"Amanita olivaceogrisea","Amanita olivaceogrisea",NA,NA,0,0,"yes","Amanita olivaceogrisea",NA,"yes"
"Amanita ovoidea","Amanita ovoidea (Bull.) Link","yes",NA,0,0,NA,"Agaricus ovoideus, Amanita ovoidea",NA,"yes"
"Amanita pagetodes","Amanita pagetodes D.A.Reid","yes","yes",27,15,NA,"Amanita pagetodes",NA,NA
"Amanita pallidobrunnea","Amanita pallidobrunnea A.E.Wood","yes","yes",7,11,NA,"Amanita pallidobrunnea",NA,NA
"Amanita pallidochracea","Amanita pallidochracea A.E.Wood","yes","yes",3,2,NA,"Amanita pallidochracea",NA,NA
"Amanita pallidofumosa","Amanita pallidofumosa A.E.Wood","yes","yes",2,1,NA,"Amanita pallidofumosa",NA,NA
"Amanita pallidogrisea","Amanita pallidogrisea A.E.Wood","yes","yes",1,15,NA,"Amanita pallidogrisea",NA,NA
