"canonicalName","acceptedNameUsage","NSL","GBIF","OBSERVATION_TOT","SPECIMEN_TOT","GlobalFungi","synonym_canonicalNames","GSMc","UNITE"
"Hysterangium inflatum","Hysterangium inflatum Rodway","yes","yes",22,114,"yes","Hysterangium eucalyptorum, Hysterangium inflatum, Hysterangium pterosporum",NA,NA
"Hysterangium membranaceum","Hysterangium membranaceum Vittad.","yes","yes",0,6,NA,"Hysterangium membranaceum",NA,NA
"Hysterangium moselei","Hysterangium moselei",NA,"yes",0,2,NA,"Hysterangium moselei",NA,NA
"Hysterangium moseleyi","Hysterangium moseleyi (Berk. & Broome) Zeller & C.W.Dodge","yes",NA,0,0,NA,"Hymenangium moseleyi, Hymenogaster moseleyi, Hysterangium moseleyi",NA,NA
"Hysterangium neglectum","Hysterangium neglectum Massee & Rodway","yes","yes",0,14,NA,"Hysterangium neglectum",NA,NA
"Hysterangium neocaledonicum","Hysterangium neocaledonicum",NA,"yes",0,2,NA,"Hysterangium neocaledonicum",NA,NA
"Hysterangium neotunicatum","Hysterangium neotunicatum Castellano & Beever","yes","yes",0,5,NA,"Hysterangium neotunicatum",NA,NA
"Hysterangium pseudacaciae","Hysterangium pseudacaciae (Fr.) De Toni","yes",NA,0,0,NA,"Hysterangium pseudacaciae, Mylitta pseudacaciae",NA,NA
"Hysterangium pumilum","Hysterangium pumilum Rodway","yes","yes",0,8,NA,"Hysterangium pumilum",NA,NA
"Hysterangium rhodocarpum","Hysterangium rhodocarpum Trappe, Claridge & Castellano","yes",NA,0,0,NA,"Hysterangium rhodocarpum",NA,NA
"Hysterangium rupticutis","Hysterangium rupticutis Castellano & Beever","yes",NA,0,0,NA,"Hysterangium rupticutis",NA,NA
"Hysterangium salmonaceum","Hysterangium salmonaceum G.W.Beaton, Pegler & T.W.K.Young","yes","yes",0,3,NA,"Hysterangium salmonaceum",NA,NA
"Hysterangium subglobosum","Hysterangium subglobosum J.W.Cribb","yes","yes",0,2,NA,"Hysterangium subglobosum",NA,NA
"Imleria badia","Imleria badia",NA,"yes",0,2,NA,"Imleria badia",NA,"yes"
"Imperator rhodopurpureus","Imperator rhodopurpureus",NA,NA,NA,NA,NA,NA,"yes",NA
"Inocybe acaciae","Inocybe acaciae Matheny & Bougher","yes","yes",0,7,"yes","Inocybe acaciae","yes","yes"
"Inocybe acanthosperma","Inocybe acanthosperma Matheny & Bougher","yes","yes",0,6,NA,"Inocybe acanthosperma",NA,"yes"
"Inocybe agglutinata","Inocybe agglutinata",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe agordina","Inocybe agordina",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe albidipes","Inocybe albidipes Cleland & Cheel","yes",NA,0,0,NA,"Inocybe albidipes",NA,NA
"Inocybe albofloccosa","Inocybe albofloccosa Matheny & Bougher","yes","yes",0,26,NA,"Inocybe albofloccosa",NA,"yes"
"Inocybe alienospora","Inocybe alienospora",NA,"yes",0,11,NA,"Inocybe alienospora","yes","yes"
"Inocybe alloumbrina","Inocybe alloumbrina Matheny & Bougher","yes","yes",0,12,NA,"Inocybe alloumbrina","yes","yes"
"Inocybe althoffiae","Inocybe althoffiae",NA,NA,NA,NA,NA,NA,"yes",NA
"Inocybe amygdalina","Inocybe amygdalina (E.Horak) Garrido","yes","yes",0,11,NA,"Inocybe amygdalina","yes","yes"
"Inocybe angustifolia","Inocybe angustifolia",NA,NA,0,0,"yes","Inocybe angustifolia",NA,"yes"
"Inocybe araneosa","Inocybe araneosa Matheny & Bougher","yes",NA,0,0,NA,"Inocybe araneosa","yes",NA
"Inocybe arctica","Inocybe arctica",NA,NA,NA,NA,NA,NA,"yes",NA
"Inocybe asterospora","Inocybe asterospora Quél.","yes","yes",6,2,NA,"Astrosporina asterospora, Inocybe asterospora",NA,"yes"
"Inocybe atrisquamosa","Inocybe atrisquamosa Matheny & Bougher","yes","yes",0,6,"yes","Inocybe atrisquamosa","yes","yes"
"Inocybe atrorubripes","Inocybe atrorubripes Matheny, Bougher & Ryberg","yes","yes",0,10,NA,"Inocybe atrorubripes",NA,"yes"
"Inocybe aureorimosa","Inocybe aureorimosa Matheny & Bougher","yes","yes",0,16,NA,"Inocybe aureorimosa",NA,"yes"
"Inocybe auritelloides","Inocybe auritelloides Matheny, Bougher & G.M.Gates","yes","yes",0,9,"yes","Inocybe auritelloides","yes","yes"
"Inocybe australiensis","Inocybe australiensis Cleland & Cheel","yes","yes",191,314,"yes","Inocybe australiensis, Inocybe granulosipes, Inocybe serrata","yes","yes"
"Inocybe austrofibrillosa","Inocybe austrofibrillosa Grgur.","yes","yes",321,45,NA,"Cortinarius fibrillosus, Inocybe austrofibrillosa, Inocybe fibrillosa",NA,NA
"Inocybe austrosquarrosa","Inocybe austrosquarrosa Matheny, Bougher & G.M.Gates","yes","yes",0,5,"yes","Inocybe austrosquarrosa",NA,"yes"
"Inocybe avellaneifolia","Inocybe avellaneifolia Matheny & Bougher","yes","yes",0,3,NA,"Inocybe avellaneifolia",NA,"yes"
"Inocybe bella","Inocybe bella Matheny, Bougher & G.M.Gates","yes","yes",0,3,NA,"Inocybe bella",NA,"yes"
"Inocybe bicornis","Inocybe bicornis",NA,"yes",0,8,NA,"Inocybe bicornis",NA,"yes"
"Inocybe bicornis_f_bicornis","Inocybe bicornis_f_bicornis",NA,NA,NA,NA,NA,NA,"yes",NA
"Inocybe boreoaustralis","Inocybe boreoaustralis Matheny & Bougher","yes","yes",0,6,NA,"Inocybe boreoaustralis",NA,NA
"Inocybe brevicula","Inocybe brevicula Matheny & Bougher","yes","yes",0,8,NA,"Inocybe brevicula",NA,"yes"
"Inocybe brunnea","Inocybe brunnea K.Syme","yes",NA,0,0,NA,"Inocybe brunnea",NA,NA
"Inocybe brunneidisca","Inocybe brunneidisca Matheny, Bougher & G.M.Gates","yes","yes",0,15,"yes","Inocybe brunneidisca","yes","yes"
"Inocybe bulbinella","Inocybe bulbinella Matheny & Bougher","yes","yes",0,18,NA,"Inocybe bulbinella","yes","yes"
"Inocybe cacaocolor","Inocybe cacaocolor Matheny & Bougher","yes","yes",0,9,NA,"Inocybe cacaocolor",NA,"yes"
"Inocybe caerulata","Inocybe caerulata Matheny, Bougher & G.M.Gates","yes","yes",0,10,"yes","Inocybe caerulata",NA,"yes"
"Inocybe calocephala","Inocybe calocephala Matheny & Bougher","yes","yes",0,17,NA,"Inocybe calocephala",NA,NA
"Inocybe calopedes","Inocybe calopedes",NA,"yes",58,26,NA,"Inocybe calopedes",NA,"yes"
"Inocybe calospora","Inocybe calospora",NA,"yes",1,0,NA,"Inocybe calospora",NA,"yes"
"Inocybe campestris","Inocybe campestris Matheny & Bougher","yes","yes",0,20,NA,"Inocybe campestris",NA,NA
"Inocybe casimiri","Inocybe casimiri Velen.","yes",NA,0,0,NA,"Inocybe casimiri",NA,NA
"Inocybe chalcoceps","Inocybe chalcoceps Matheny, Bougher & G.M.Gates","yes","yes",0,3,NA,"Inocybe chalcoceps",NA,NA
"Inocybe cincinnata","Inocybe cincinnata (Fr.) Quél.","yes","yes",0,1,NA,"Agaricus cincinnatus, Inocybe cincinnata",NA,"yes"
"Inocybe clypeata","Inocybe clypeata Matheny & Bougher","yes","yes",0,9,"yes","Inocybe clypeata","yes","yes"
"Inocybe crassipes","Inocybe crassipes (Cooke & Massee) Pegler","yes","yes",0,1,NA,"Inocybe crassipes",NA,NA
"Inocybe curvipes","Inocybe curvipes P.Karst.","yes","yes",1,9,NA,"Inocybe curvipes",NA,"yes"
"Inocybe cyanotrichia","Inocybe cyanotrichia Matheny, Bougher & G.M.Gates","yes",NA,0,0,NA,"Inocybe cyanotrichia",NA,NA
"Inocybe dagamae","Inocybe dagamae",NA,NA,0,0,"yes","Inocybe dagamae",NA,"yes"
"Inocybe dewrangia","Inocybe dewrangia Grgur.","yes","yes",6,23,"yes","Inocybe dewrangia","yes","yes"
"Inocybe discissa","Inocybe discissa (Cleland) Grgur.","yes",NA,0,0,NA,"Astrosporina discissa, Inocybe discissa",NA,NA
"Inocybe distans","Inocybe distans",NA,NA,0,0,"yes","Inocybe distans",NA,"yes"
"Inocybe distincta","Inocybe distincta",NA,NA,NA,NA,NA,NA,"yes",NA
"Inocybe dulcamara","Inocybe dulcamara (Alb. & Schwein.) P.Kumm.","yes","yes",0,4,NA,"Inocybe dulcamara",NA,"yes"
"Inocybe eburnea","Inocybe eburnea Matheny, Bougher & G.M.Gates","yes","yes",0,8,"yes","Inocybe eburnea","yes","yes"
"Inocybe egenula","Inocybe egenula",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe emergens","Inocybe emergens (Cleland) Grgur.","yes","yes",2,46,"yes","Astrosporina emergens, Inocybe emergens","yes","yes"
"Inocybe eriocaulis","Inocybe eriocaulis Matheny & Bougher","yes","yes",0,21,NA,"Inocybe eriocaulis",NA,NA
"Inocybe eutheles","Inocybe eutheles (Berk. & Broome) Quél.","yes","yes",2,4,NA,"Agaricus eutheles, Inocybe eutheles",NA,NA
"Inocybe exigens","Inocybe exigens Matheny & Bougher","yes","yes",0,6,NA,"Inocybe exigens",NA,"yes"
"Inocybe exigua","Inocybe exigua (Cleland) Grgur.","yes","yes",0,7,NA,"Astrosporina exigua, Inocybe exigua","yes","yes"
"Inocybe farinosipes","Inocybe farinosipes Matheny, Bougher & Ryberg","yes","yes",0,24,"yes","Inocybe farinosipes","yes","yes"
"Inocybe fastigiata","Inocybe fastigiata (Schaeff.) Quél.","yes",NA,0,0,NA,"Inocybe fastigiata",NA,NA
"Inocybe fibrillosibrunnea","Inocybe fibrillosibrunnea O.K.Mill. & R.N.Hilton","yes","yes",20,56,NA,"Inocybe fibrillosibrunnea","yes","yes"
"Inocybe fibrillosipes","Inocybe fibrillosipes",NA,"yes",0,3,NA,"Inocybe fibrillosipes",NA,NA
"Inocybe filiana","Inocybe filiana",NA,NA,0,0,"yes","Inocybe filiana",NA,"yes"
"Inocybe fissurata","Inocybe fissurata Matheny & Bougher","yes",NA,0,0,NA,"Inocybe fissurata",NA,NA
"Inocybe flavoalbida","Inocybe flavoalbida Matheny & Bougher","yes","yes",0,4,"yes","Inocybe flavoalbida","yes","yes"
"Inocybe floccosibrunnea","Inocybe floccosibrunnea Matheny & Bougher","yes","yes",0,10,"yes","Inocybe floccosibrunnea",NA,"yes"
"Inocybe flocculosa","Inocybe flocculosa Sacc.","yes","yes",0,2,NA,"Agaricus flocculosus, Inocybe flocculosa",NA,"yes"
"Inocybe fragilis","Inocybe fragilis Matheny & Bougher","yes","yes",0,7,"yes","Inocybe fragilis",NA,"yes"
"Inocybe fragrans","Inocybe fragrans Matheny, Bougher & G.M.Gates","yes","yes",0,3,NA,"Inocybe fragrans",NA,"yes"
"Inocybe froudistii","Inocybe froudistii Matheny & Bougher","yes","yes",0,46,"yes","Inocybe froudistii",NA,"yes"
"Inocybe fulvilubrica","Inocybe fulvilubrica Matheny, Bougher & G.M.Gates","yes","yes",1,24,"yes","Inocybe fulvilubrica","yes","yes"
"Inocybe fulvo-olivacea","Inocybe fulvo-olivacea Cleland","yes","yes",0,18,NA,"Inocybe fulvo-olivacea",NA,NA
"Inocybe fuscosquarrosa","Inocybe fuscosquarrosa Matheny, Bougher & G.M.Gates","yes","yes",0,11,"yes","Inocybe fuscosquarrosa",NA,"yes"
"Inocybe gaiana","Inocybe gaiana",NA,NA,0,0,"yes","Inocybe gaiana",NA,"yes"
"Inocybe geniculata","Inocybe geniculata Matheny & Bougher","yes","yes",0,22,"yes","Inocybe geniculata","yes","yes"
"Inocybe geoaustralis","Inocybe geoaustralis Matheny & Watling","yes",NA,0,0,NA,"Inocybe geoaustralis",NA,NA
"Inocybe geophylla","Inocybe geophylla (Sowerby) P.Kumm.","yes","yes",1,1,NA,"Inocybe geophylla",NA,"yes"
"Inocybe gilibertoi","Inocybe gilibertoi",NA,"yes",0,1,NA,"Inocybe gilibertoi",NA,NA
"Inocybe gilviceps","Inocybe gilviceps Matheny, Bougher & Halling","yes","yes",0,4,NA,"Inocybe gilviceps",NA,"yes"
"Inocybe glabripes","Inocybe glabripes",NA,"yes",0,1,NA,"Inocybe glabripes",NA,"yes"
"Inocybe gomphocephala","Inocybe gomphocephala Matheny & Bougher","yes","yes",0,6,NA,"Inocybe gomphocephala",NA,"yes"
"Inocybe gomphodes","Inocybe gomphodes Sacc.","yes",NA,0,0,NA,"Agaricus gomphodes, Inocybe gomphodes, Naucoria gomphodes",NA,NA
"Inocybe gracilissima","Inocybe gracilissima Matheny & Bougher","yes",NA,0,0,NA,"Inocybe gracilissima",NA,NA
"Inocybe griseovelata","Inocybe griseovelata",NA,"yes",0,1,NA,"Inocybe griseovelata",NA,"yes"
"Inocybe haemacta","Inocybe haemacta (Berk. & Cooke) Sacc.","yes",NA,0,0,NA,"Inocybe haemacta",NA,"yes"
"Inocybe hamadryadis","Inocybe hamadryadis",NA,NA,0,0,"yes","Inocybe hamadryadis",NA,"yes"
"Inocybe hirsuta","Inocybe hirsuta (Lasch) Quél.","yes",NA,0,0,NA,"Inocybe hirsuta",NA,NA
"Inocybe humidicola","Inocybe humidicola Matheny & Bougher","yes","yes",0,18,NA,"Inocybe humidicola",NA,NA
"Inocybe hydrocybiformis","Inocybe hydrocybiformis",NA,"yes",0,1,NA,"Inocybe hydrocybiformis",NA,"yes"
"Inocybe hymenocarpa","Inocybe hymenocarpa Matheny & Bougher","yes","yes",0,11,NA,"Inocybe hymenocarpa","yes","yes"
"Inocybe hystrix","Inocybe hystrix",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe illudens","Inocybe illudens Matheny, Bougher & G.M.Gates","yes",NA,0,0,NA,"Inocybe illudens",NA,NA
"Inocybe imbricata","Inocybe imbricata (Cleland) Garrido","yes","yes",15,36,NA,"Astrosporina imbricata, Inocybe imbricata, Inocybe murrayana",NA,NA
"Inocybe invadens","Inocybe invadens Matheny, Bougher & G.M.Gates","yes","yes",0,16,"yes","Inocybe invadens",NA,"yes"
"Inocybe ionocaulis","Inocybe ionocaulis Matheny & Bougher","yes","yes",0,9,"yes","Inocybe ionocaulis","yes","yes"
"Inocybe isabellina","Inocybe isabellina Matheny & Bougher","yes",NA,0,0,NA,"Inocybe isabellina","yes",NA
"Inocybe keralensis","Inocybe keralensis",NA,NA,NA,NA,NA,NA,"yes",NA
"Inocybe lacera","Inocybe lacera (Fr.) P.Kumm.","yes",NA,0,0,NA,"Inocybe lacera",NA,"yes"
"Inocybe lanuginosa","Inocybe lanuginosa (Bull.) P.Kumm.","yes",NA,0,0,NA,"Agaricus lanuginosus, Inocybe lanuginosa","yes","yes"
"Inocybe lasseroides","Inocybe lasseroides",NA,"yes",0,8,"yes","Inocybe lasseroides","yes","yes"
"Inocybe laureata","Inocybe laureata Matheny & Bougher","yes","yes",0,5,NA,"Inocybe laureata",NA,"yes"
"Inocybe leptospermi","Inocybe leptospermi",NA,"yes",0,23,"yes","Inocybe leptospermi","yes","yes"
"Inocybe leucotaenia","Inocybe leucotaenia Matheny & Bougher","yes","yes",0,11,"yes","Inocybe leucotaenia","yes","yes"
"Inocybe lucifera","Inocybe lucifera Matheny, Bougher & G.M.Gates","yes","yes",0,7,NA,"Inocybe lucifera","yes","yes"
"Inocybe luteo-olivacea","Inocybe luteo-olivacea Matheny, Bougher & Halling","yes","yes",0,6,NA,"Inocybe luteo-olivacea",NA,"yes"
"Inocybe luteobrunnea","Inocybe luteobrunnea",NA,NA,NA,NA,NA,NA,"yes",NA
"Inocybe luteobulbosa","Inocybe luteobulbosa E.Horak","yes","yes",0,5,"yes","Inocybe luteobulbosa",NA,"yes"
"Inocybe maculata","Inocybe maculata",NA,NA,0,0,"yes","Inocybe maculata",NA,"yes"
"Inocybe mallocyboides","Inocybe mallocyboides",NA,"yes",0,8,NA,"Inocybe mallocyboides",NA,"yes"
"Inocybe mallopoda","Inocybe mallopoda Matheny & Bougher","yes","yes",0,4,NA,"Inocybe mallopoda","yes","yes"
"Inocybe manukanea","Inocybe manukanea",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe marangania","Inocybe marangania Grgur.","yes",NA,0,0,NA,"Inocybe marangania",NA,NA
"Inocybe mellita","Inocybe mellita Matheny, Bougher & Ryberg","yes","yes",0,7,NA,"Inocybe mellita","yes","yes"
"Inocybe memorialis","Inocybe memorialis Matheny & Bougher","yes","yes",0,6,NA,"Inocybe memorialis",NA,"yes"
"Inocybe mendica","Inocybe mendica",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe meridionalis","Inocybe meridionalis Matheny, Bougher & G.M.Gates","yes","yes",2,15,"yes","Inocybe meridionalis","yes","yes"
"Inocybe mixtilis","Inocybe mixtilis (Britzelm.) Sacc.","yes","yes",2,2,NA,"Agaricus mixtilis, Inocybe mixtilis",NA,"yes"
"Inocybe neoumbrina","Inocybe neoumbrina",NA,"yes",0,4,NA,"Inocybe neoumbrina",NA,NA
"Inocybe nigricans","Inocybe nigricans Matheny, Bougher & Ryberg","yes","yes",0,22,NA,"Inocybe nigricans","yes","yes"
"Inocybe nobilis","Inocybe nobilis",NA,NA,0,0,"yes","Inocybe nobilis",NA,"yes"
"Inocybe nobilissima","Inocybe nobilissima Matheny & Bougher","yes","yes",0,18,NA,"Inocybe nobilissima",NA,NA
"Inocybe nothopus","Inocybe nothopus Matheny, Bougher & G.M.Gates","yes","yes",0,3,NA,"Inocybe nothopus",NA,"yes"
"Inocybe nudiuscula","Inocybe nudiuscula Matheny & Bougher","yes","yes",0,11,"yes","Inocybe nudiuscula","yes","yes"
"Inocybe obscura","Inocybe obscura Gillet","yes",NA,0,0,NA,"Agaricus obscurus, Inocybe obscura",NA,NA
"Inocybe occulta","Inocybe occulta",NA,"yes",0,1,NA,"Inocybe occulta",NA,"yes"
"Inocybe olivaceohinnulea","Inocybe olivaceohinnulea Matheny & Bougher","yes","yes",0,4,NA,"Inocybe olivaceohinnulea",NA,"yes"
"Inocybe ornatipes","Inocybe ornatipes Matheny & Bougher","yes","yes",0,3,NA,"Inocybe ornatipes",NA,"yes"
"Inocybe pallidiflavipes","Inocybe pallidiflavipes Matheny, Bougher & G.M.Gates","yes","yes",0,7,"yes","Inocybe pallidiflavipes","yes","yes"
"Inocybe pararubens","Inocybe pararubens",NA,NA,0,0,"yes","Inocybe pararubens",NA,"yes"
"Inocybe parvifulva","Inocybe parvifulva Matheny & Bougher","yes","yes",0,18,NA,"Inocybe parvifulva","yes","yes"
"Inocybe patouillardii","Inocybe patouillardii Bres.","yes",NA,0,0,NA,"Inocybe patouillardii",NA,NA
"Inocybe paucicolor","Inocybe paucicolor Matheny & Bougher","yes","yes",0,4,NA,"Inocybe paucicolor",NA,NA
"Inocybe perbrevis","Inocybe perbrevis (Weinm.) Gillet","yes",NA,0,0,NA,"Inocybe perbrevis",NA,NA
"Inocybe perlata","Inocybe perlata (Cooke) Sacc.","yes",NA,0,0,NA,"Agaricus perlatus, Inocybe perlata",NA,"yes"
"Inocybe persicinipes","Inocybe persicinipes Matheny & Bougher","yes","yes",0,10,"yes","Inocybe persicinipes","yes","yes"
"Inocybe petiginosa","Inocybe petiginosa (Fr.) Gillet","yes",NA,0,0,NA,"Agaricus petiginosus, Hebeloma petiginosum, Inocybe petiginosa",NA,"yes"
"Inocybe phaeoleuca","Inocybe phaeoleuca",NA,NA,0,0,"yes","Inocybe phaeoleuca",NA,"yes"
"Inocybe picrosma","Inocybe picrosma",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe pingala","Inocybe pingala",NA,NA,0,0,"yes","Inocybe pingala",NA,"yes"
"Inocybe pipilikae","Inocybe pipilikae",NA,NA,0,0,"yes","Inocybe pipilikae",NA,"yes"
"Inocybe plumosa","Inocybe plumosa (Bull.) Quél.","yes",NA,0,0,NA,"Agaricus plumosus, Inocybe plumosa",NA,NA
"Inocybe pluvialis","Inocybe pluvialis Matheny, Bougher & G.M.Gates","yes","yes",0,9,"yes","Inocybe pluvialis",NA,"yes"
"Inocybe pluviorum","Inocybe pluviorum Matheny & Bougher","yes",NA,0,0,NA,"Inocybe pluviorum",NA,NA
"Inocybe pluviosilvestris","Inocybe pluviosilvestris Matheny & Bougher","yes","yes",0,5,NA,"Inocybe pluviosilvestris",NA,"yes"
"Inocybe posterula","Inocybe posterula (Britzelm.) Sacc.","yes","yes",0,3,"yes","Inocybe posterula",NA,"yes"
"Inocybe pseudoreducta","Inocybe pseudoreducta",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe pusillima","Inocybe pusillima",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe pusio","Inocybe pusio",NA,"yes",0,1,NA,"Inocybe pusio",NA,"yes"
"Inocybe pygmaeformis","Inocybe pygmaeformis Matheny, Bougher & G.M.Gates","yes",NA,0,0,NA,"Inocybe pygmaeformis",NA,NA
"Inocybe pygmaeiformis","Inocybe pygmaeiformis",NA,"yes",0,3,"yes","Inocybe pygmaeiformis","yes","yes"
"Inocybe pyrrhopoda","Inocybe pyrrhopoda Matheny & Bougher","yes",NA,0,0,NA,"Inocybe pyrrhopoda",NA,NA
"Inocybe quietiodor","Inocybe quietiodor",NA,NA,0,0,"yes","Inocybe quietiodor",NA,"yes"
"Inocybe redolens","Inocybe redolens Matheny, Bougher & G.M.Gates","yes","yes",0,13,NA,"Inocybe redolens",NA,"yes"
"Inocybe relicina","Inocybe relicina",NA,NA,0,0,"yes","Inocybe relicina",NA,"yes"
"Inocybe rimosa","Inocybe rimosa (Bull.) P.Kumm.","yes",NA,0,0,NA,"Agaricus rimosus, Inocybe rimosa, Inocybe umbrinella",NA,"yes"
"Inocybe rivularis","Inocybe rivularis",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe roseola","Inocybe roseola Matheny, Bougher & G.M.Gates","yes","yes",0,3,NA,"Inocybe roseola",NA,NA
"Inocybe rubricosa","Inocybe rubricosa Matheny & Bougher","yes",NA,0,0,NA,"Inocybe rubricosa",NA,NA
"Inocybe rufescens","Inocybe rufescens Matheny & Bougher","yes","yes",0,6,"yes","Inocybe rufescens","yes","yes"
"Inocybe rufoalba","Inocybe rufoalba",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe rufobadia","Inocybe rufobadia Matheny & Bougher","yes","yes",0,10,NA,"Inocybe rufobadia","yes","yes"
"Inocybe rufoflavipes","Inocybe rufoflavipes Matheny & Bougher","yes","yes",0,3,"yes","Inocybe rufoflavipes","yes","yes"
"Inocybe rufuloides","Inocybe rufuloides Bon","yes","yes",1,14,NA,"Inocybe rufuloides",NA,"yes"
"Inocybe sabulosa","Inocybe sabulosa Matheny & Bougher","yes",NA,0,0,NA,"Inocybe sabulosa","yes",NA
"Inocybe sambucina","Inocybe sambucina",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe scissa","Inocybe scissa (E.Horak) Garrido","yes","yes",14,5,"yes","Astrosporina scissa, Inocybe scissa","yes","yes"
"Inocybe sejuncta","Inocybe sejuncta Matheny, Bougher & M.D.Barrett","yes","yes",0,10,NA,"Inocybe sejuncta",NA,NA
"Inocybe serpentinocystis","Inocybe serpentinocystis Matheny & Watling","yes",NA,0,0,NA,"Inocybe serpentinocystis",NA,NA
"Inocybe serrata","Inocybe serrata",NA,NA,NA,NA,NA,NA,"yes","yes"
"Inocybe serratoides","Inocybe serratoides Matheny & Bougher","yes","yes",0,9,"yes","Inocybe serratoides","yes","yes"
"Inocybe sindonia","Inocybe sindonia",NA,"yes",9,26,NA,"Inocybe sindonia",NA,"yes"
"Inocybe sinuospora","Inocybe sinuospora Matheny & Bougher","yes","yes",0,8,NA,"Inocybe sinuospora",NA,"yes"
"Inocybe solitaria","Inocybe solitaria Matheny, Bougher & G.M.Gates","yes","yes",0,8,NA,"Inocybe solitaria",NA,NA
"Inocybe spadicea","Inocybe spadicea Matheny & Bougher","yes","yes",0,16,NA,"Inocybe spadicea",NA,"yes"
"Inocybe spiniformis","Inocybe spiniformis Matheny & Bougher","yes","yes",0,12,"yes","Inocybe spiniformis","yes","yes"
"Inocybe splendens","Inocybe splendens",NA,NA,0,0,"yes","Inocybe splendens",NA,"yes"
"Inocybe splendentoides","Inocybe splendentoides",NA,NA,0,0,"yes","Inocybe splendentoides",NA,"yes"
"Inocybe striatula","Inocybe striatula (Cleland) Grgur.","yes","yes",9,27,NA,"Cortinarius striatulus, Inocybe striatula",NA,NA
"Inocybe subangustifolia","Inocybe subangustifolia Matheny, Bougher & Halling","yes","yes",0,7,NA,"Inocybe subangustifolia","yes","yes"
"Inocybe subasterospora","Inocybe subasterospora Cleland & Cheel","yes",NA,0,0,NA,"Inocybe subasterospora",NA,NA
"Inocybe subferruginea","Inocybe subferruginea Matheny & Bougher","yes","yes",0,26,"yes","Inocybe subferruginea","yes","yes"
"Inocybe subflavospora","Inocybe subflavospora Matheny & Bougher","yes",NA,0,0,NA,"Inocybe subflavospora",NA,NA
"Inocybe subpulverulenta","Inocybe subpulverulenta Matheny, Bougher & Lepp","yes","yes",0,11,NA,"Inocybe subpulverulenta",NA,"yes"
"Inocybe subtilior","Inocybe subtilior Matheny & Bougher","yes",NA,0,0,NA,"Inocybe subtilior",NA,NA
"Inocybe sylvicola","Inocybe sylvicola Matheny, Bougher & G.M.Gates","yes","yes",0,14,"yes","Inocybe sylvicola","yes","yes"
"Inocybe tasmanica","Inocybe tasmanica Matheny & Bougher","yes","yes",0,3,NA,"Inocybe tasmanica",NA,"yes"
"Inocybe tenax","Inocybe tenax Matheny & Bougher","yes","yes",6,22,NA,"Inocybe tenax",NA,NA
"Inocybe tenuis","Inocybe tenuis Matheny & Bougher","yes","yes",0,3,"yes","Inocybe tenuis",NA,"yes"
"Inocybe tertia","Inocybe tertia Matheny & Bougher","yes","yes",0,8,NA,"Inocybe tertia","yes","yes"
"Inocybe tiburtina","Inocybe tiburtina",NA,NA,0,0,"yes","Inocybe tiburtina",NA,"yes"
"Inocybe tigrina","Inocybe tigrina",NA,NA,0,0,"yes","Inocybe tigrina","yes","yes"
"Inocybe tomentipes","Inocybe tomentipes Matheny & Bougher","yes","yes",0,5,"yes","Inocybe tomentipes",NA,"yes"
"Inocybe tomentosa","Inocybe tomentosa (Fr.) Quél.","yes",NA,0,0,NA,"Inocybe tomentosa",NA,NA
"Inocybe torresiae","Inocybe torresiae Matheny, Bougher & G.M.Gates","yes","yes",0,46,"yes","Inocybe torresiae","yes","yes"
"Inocybe trachysperma","Inocybe trachysperma Matheny & Bougher","yes","yes",0,3,"yes","Inocybe trachysperma","yes","yes"
"Inocybe tumidula","Inocybe tumidula Matheny & Bougher","yes","yes",0,8,"yes","Inocybe tumidula","yes","yes"
"Inocybe umbrosa","Inocybe umbrosa",NA,"yes",2,11,NA,"Inocybe umbrosa","yes","yes"
"Inocybe vagata","Inocybe vagata Matheny & Bougher","yes","yes",0,2,NA,"Inocybe vagata",NA,NA
"Inocybe vestalis","Inocybe vestalis",NA,NA,0,0,"yes","Inocybe vestalis",NA,"yes"
"Inocybe vestipedes","Inocybe vestipedes Matheny & Bougher","yes","yes",0,8,"yes","Inocybe vestipedes",NA,"yes"
"Inocybe violaceocaulis","Inocybe violaceocaulis Matheny & Bougher","yes","yes",71,77,"yes","Inocybe violaceocaulis","yes","yes"
"Inocybe viridipes","Inocybe viridipes Matheny, Bougher & G.M.Gates","yes",NA,0,0,NA,"Inocybe viridipes",NA,NA
"Inocybe viscata","Inocybe viscata",NA,"yes",0,13,NA,"Inocybe viscata",NA,"yes"
"Inocybe vittata","Inocybe vittata Matheny, Bougher & Ryberg","yes","yes",0,17,NA,"Inocybe vittata","yes","yes"
"Inocybe xanthocystis","Inocybe xanthocystis Matheny & Bougher","yes","yes",0,18,NA,"Inocybe xanthocystis","yes","yes"
