"dark_taxa_hotspot_index","CHELSA_BIO_Annual_Mean_Temperature","CHELSA_BIO_Annual_Precipitation","SG_Soil_pH_H2O_005cm","SG_SOC_Content_005cm","GRIP4_DistanceToAllRoads","GHS_Population_Density","ecm_sampleintensity_5degrees","veg_prop_ECM_Jinsu","host_family_richness","Pinaceae","Fabaceae","Achatocarpaceae","Asteraceae","Myrtaceae","Rosaceae","Juglandaceae","Casuarinaceae","Betulaceae","Dipterocarpaceae","Goodeniaceae","Ericaceae","Asteropeiaceae","Rhamnaceae","Fagaceae","Cistaceae","Polygonaceae","Malvaceae","Sarcolaenaceae","Gnetaceae","Nyctaginaceae","Nothofagaceae","Salicaceae","Ticodendraceae","Phyllanthaceae"
0.00661081122234464,246.5,287.90478515625,79.8917388916016,3.21802282333374,3323.07055664062,0,0,50,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0346694178879261,158.499725341797,652.171630859375,63.1916236877441,17.295597076416,1140.27905273438,0,0.111806221306324,40,9,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.127882435917854,58.4671096801758,1253.25842285156,51.2136688232422,90.8873672485352,2673.76538085938,0.352691292762756,0.0824350267648697,78,8,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
0.174816697835922,256.5,1489.04968261719,56.9371185302734,23.9873275756836,1643.53942871094,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00738522736355662,148.450454711914,244.640014648438,76.1576080322266,10.9844970703125,197.312637329102,0,0.0032298737205565,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.256150513887405,98.3682632446289,1572.45581054688,61.1025390625,67.598258972168,199.174468994141,0,0.302158921957016,22,11,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0
0.092450737953186,265.5,4450.673828125,50.9221229553223,244.235397338867,63.9654426574707,0,0.00355340563692153,20,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0109151881188154,184.399719238281,396.683746337891,72.9754791259766,16.054178237915,1224.724609375,0.00190543860662729,0.00780854094773531,0,11,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
0.134598836302757,-140.533966064453,462.791717529297,54.9670295715332,184.549072265625,31915.70703125,0,0,50,5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.00633234949782491,257.5,638.276306152344,79.5844345092773,5.67318105697632,2356.54711914062,0,0.00325480010360479,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
